pair,lang_a,lang_b,n,label_disagreement_mean,label_disagreement_std,confidence_distance_mean,confidence_distance_std
en-sw,en,sw,300,0.23333333333333334,0.42365927286816174,0.016268748967121514,0.01520470262458395
en-hi,en,hi,300,0.21,0.4079887859958012,0.017603086345412303,0.01492225406530603
en-tr,en,tr,300,0.20666666666666667,0.4055908059796304,0.0173488193412623,0.015297672552410959
en-zh,en,zh,300,0.19333333333333333,0.39557192271742875,0.015895310173821536,0.01519979975497279
en-ar,en,ar,300,0.17333333333333334,0.3791676620467903,0.017135785490707146,0.014512940125488198
en-th,en,th,300,0.17333333333333334,0.37916766204679037,0.017541178214968804,0.015108953033650585
en-vi,en,vi,300,0.16,0.3672185974698983,0.016167795841172703,0.0152839472666509
en-de,en,de,300,0.15666666666666668,0.36409353546046735,0.013352012472020712,0.01309976376859053
en-es,en,es,300,0.15666666666666668,0.36409353546046724,0.013069528694205145,0.013261515583127883
en-fr,en,fr,300,0.14,0.3475667929841461,0.013257202794588278,0.012829245685096987
