prompt_id,avg_prompt_sensitivity_score,languages_present
34,0.918469,"en,es"
76,0.355391,"ar,en,es,hi"
17,0.343292,"ar,en,es"
92,0.331242,"ar,en,es,hi"
61,0.247877,"en,es"
51,0.236549,"en,es"
37,0.205557,"en,es"
13,0.203389,"ar,en,es"
42,0.162882,"ar,en,es"
32,0.156107,"ar,en,es"
64,0.149283,"ar,en,es"
44,0.145349,"ar,en,es,hi"
47,0.1315,"ar,en,es,hi"
26,0.109026,"ar,en,es,hi"
95,0.106905,"ar,en,es,hi"
78,0.10133,"en,es"
68,0.095654,"ar,en,es,hi"
36,0.089383,"ar,en,es,hi"
14,0.074136,"en,es"
39,0.07138,"en,es"
